LifeStyle,ID
Bad,229
Bad,230
Bad,231
Good,232
Bad,233
Average,234
Average,235
Bad,236
Bad,237
Bad,238
Bad,239
Good,240
Bad,241
Average,242
Average,243
Average,244
Good,245
Bad,246
Average,247
Average,248
Bad,249
Average,250
Average,251
Bad,252
Average,253
Bad,254
Bad,255
Good,256
Good,257
Bad,258
Great,259
Bad,260
Average,261
Bad,262
Average,263
Good,264
Bad,265
Great,266
Average,267
Bad,268
Average,269
Bad,270
Bad,271
Average,272
Bad,273
Good,274
Good,275
Bad,276
Great,277
Bad,278
Bad,279
Good,280
Bad,281
Bad,282
Average,283
Good,284
Good,285
Bad,286
Good,287
Good,288
Bad,289
Bad,290
Bad,291
Bad,292
Bad,293
Bad,294
Bad,295
Bad,296
Bad,297
Bad,298
Average,299
Bad,300
Bad,301
Average,302
Bad,303
Bad,304
Bad,305
Average,306
Average,307
Good,308
Bad,309
Average,310
Bad,311
Bad,312
Bad,313
Bad,314
Great,315
Bad,316
Good,317
Average,318
Bad,319
Average,320
Bad,321
Bad,322
Good,323
Bad,324
Bad,325
Bad,326
Good,327
Bad,328
Good,329
Bad,330
Average,331
Bad,332
Average,333
Bad,334
Bad,335
Bad,336
Great,337
Bad,338
Bad,339
Average,340
Good,341
Average,342
Bad,343
Bad,344
Good,345
Good,346
Bad,347
Average,348
Bad,349
Average,350
Bad,351
Bad,352
Bad,353
Average,354
Bad,355
Average,356
Average,357
Average,358
Bad,359
Average,360
Good,361
Good,362
Bad,363
Great,364
Good,365
Bad,366
Average,367
Bad,368
Bad,369
Average,370
Good,371
Bad,372
Bad,373
Great,374
Bad,375
Average,376
Bad,377
Average,378
Good,379
Bad,380
Good,381
Bad,382
Bad,383
Bad,384
Bad,385
Bad,386
Bad,387
Bad,388
Average,389
Average,390
Bad,391
Bad,392
Bad,393
Bad,394
Average,395
Bad,396
Bad,397
Bad,398
Bad,399
Bad,400
Bad,401
Bad,402
Average,403
Bad,404
Bad,405
Bad,406
Good,407
Bad,408
Average,409
Bad,410
Average,411
Average,412
Bad,413
Good,414
Average,415
Bad,416
Average,417
Bad,418
Bad,419
Bad,420
Average,421
Great,422
Bad,423
Good,424
Average,425
Great,426
Bad,427
Bad,428
Good,429
Good,430
Bad,431
Bad,432
Average,433
Good,434
Average,435
Average,436
Bad,437
Bad,438
Bad,439
Average,440
Bad,441
Good,442
Bad,443
Bad,444
Good,445
Bad,446
Bad,447
Bad,448
Bad,449
Bad,450
Good,451
Good,452
Great,453
Good,454
Good,455
Bad,456
Bad,457
Good,458
Average,459
Bad,460
Bad,461
Bad,462
Bad,463
Average,464
Bad,465
Average,466
Bad,467
Average,468
Bad,469
Good,470
Average,471
Bad,472
Good,473
Bad,474
Average,475
Bad,476
Great,477
Bad,478
Good,479
Bad,480
Bad,481
Bad,482
Bad,483
Bad,484
Bad,485
Bad,486
Bad,487
Average,488
Average,489
Good,490
Average,491
Average,492
Good,493
Average,494
Average,495
Average,496
Bad,497
Bad,498
Bad,499
Bad,500
Bad,501
Good,502
Bad,503
Bad,504
Bad,505
Great,506
Bad,507
Average,508
Average,509
Bad,510
Bad,511
Average,512
Bad,513
Bad,514
Bad,515
Average,516
Average,517
Good,518
Bad,519
Good,520
Bad,521
Average,522
Average,523
Good,524
Average,525
Bad,526
Bad,527
Average,528
Bad,529
Bad,530
Bad,531
Bad,532
Average,533
Bad,534
Bad,535
Bad,536
Bad,537
Bad,538
Average,539
Average,540
Average,541
Average,542
Average,543
Bad,544
Bad,545
Bad,546
Average,547
Bad,548
Average,549
Good,550
Great,551
Average,552
Good,553
Good,554
Bad,555
Bad,556
Bad,557
Average,558
Bad,559
Bad,560
Average,561
Good,562
Bad,563
Bad,564
Bad,565
Bad,566
Bad,567
Average,568
Bad,569
Great,570
Bad,571
Average,572
Bad,573
Bad,574
Average,575
Bad,576
Bad,577
Average,578
Bad,579
Great,580
Good,581
Average,582
Good,583
Good,584
Bad,585
Good,586
Bad,587
Bad,588
Average,589
Bad,590
Good,591
Bad,592
Bad,593
Bad,594
Average,595
Bad,596
Good,597
Average,598
Bad,599
Bad,600
Bad,601
Average,602
Great,603
Bad,604
Bad,605
Bad,606
Average,607
Bad,608
Bad,609
Bad,610
Bad,611
Average,612
Good,613
Great,614
Average,615
Great,616
Good,617
Bad,618
Good,619
Good,620
Great,621
Good,622
Average,623
Bad,624
Bad,625
Average,626
Bad,627
Great,628
Average,629
Good,630
Bad,631
Bad,632
Bad,633
Great,634
Average,635
Good,636
Average,637
Average,638
Bad,639
Good,640
Average,641
Bad,642
Bad,643
Bad,644
Average,645
Average,646
Bad,647
Bad,648
Bad,649
Bad,650
Average,651
Bad,652
Average,653
Bad,654
Bad,655
Bad,656
Bad,657
Average,658
Bad,659
Average,660
Bad,661
Good,662
Average,663
Bad,664
Average,665
Bad,666
Average,667
Average,668
Bad,669
Good,670
Average,671
Bad,672
Average,673
Bad,674
Bad,675
Bad,676
Bad,677
Great,678
Average,679
Bad,680
Good,681
Good,682
Bad,683
Bad,684
Great,685
Bad,686
Bad,687
Average,688
Bad,689
Bad,690
Average,691
Bad,692
Bad,693
Bad,694
Average,695
Bad,696
Bad,697
Good,698
Average,699
Bad,700
Average,701
Bad,702
Average,703
Average,704
Bad,705
Average,706
Bad,707
Bad,708
Average,709
Average,710
Good,711
Average,712
Bad,713
Bad,714
Average,715
Good,716
Bad,717
Bad,718
Average,719
Average,720
Average,721
Good,722
Great,723
Bad,724
Bad,725
Bad,726
Average,727
Bad,728
Bad,729
Bad,730
Good,731
Average,732
Bad,733
Bad,734
Bad,735
Bad,736
Good,737
Bad,738
Great,739
Bad,740
Average,741
Good,742
Good,743
Average,744
Bad,745
Good,746
Bad,747
Bad,748
Bad,749
Bad,750
Average,751
Bad,752
Bad,753
Good,754
Bad,755
Bad,756
Good,757
Bad,758
Bad,759
Average,760
Bad,761
Good,762
Good,763
Average,764
Average,765
Average,766
Bad,767
Bad,768
Bad,769
Bad,770
Bad,771
Average,772
Average,773
Bad,774
Average,775
Average,776
Bad,777
Average,778
Great,779
Bad,780
Bad,781
Bad,782
Average,783
Bad,784
Bad,785
Great,786
Bad,787
Average,788
Bad,789
Bad,790
Bad,791
Average,792
Bad,793
Average,794
Bad,795
Bad,796
Good,797
Bad,798
Bad,799
Bad,800
Great,801
Bad,802
Average,803
Average,804
Great,805
Average,806
Average,807
Average,808
Average,809
Bad,810
Bad,811
Good,812
Good,813
Bad,814
Bad,815
Bad,816
Average,817
Average,818
Bad,819
Average,820
Average,821
Bad,822
Average,823
Bad,824
Great,825
Bad,826
Average,827
Bad,828
Bad,829
Great,830
Good,831
Bad,832
Average,833
Bad,834
Good,835
Average,836
Bad,837
Average,838
Average,839
Good,840
Average,841
Average,842
Bad,843
Bad,844
Bad,845
Bad,846
Good,847
Bad,848
Average,849
Bad,850
Bad,851
Bad,852
Bad,853
Bad,854
Bad,855
Bad,856
Bad,857
Bad,858
Bad,859
Bad,860
Bad,861
Average,862
Bad,863
Bad,864
Bad,865
Average,866
Good,867
Average,868
Good,869
Bad,870
Bad,871
Good,872
Average,873
Great,874
Bad,875
Average,876
Bad,877
Bad,878
Bad,879
Bad,880
Bad,881
Good,882
Bad,883
Bad,884
Bad,885
Bad,886
Bad,887
Average,888
Bad,889
Average,890
Bad,891
Average,892
Great,893
Good,894
Bad,895
Great,896
Bad,897
Bad,898
Good,899
Good,900
Great,901
Bad,902
Good,903
Average,904
Average,905
Bad,906
Bad,907
Average,908
Bad,909
Bad,910
Good,911
Average,912
Bad,913
Bad,914
Bad,915
Average,916
Average,917
Good,918
Bad,919
Bad,920
Good,921
Average,922
Bad,923
Bad,924
Bad,925
Average,926
Bad,927
Bad,928
Average,929
Bad,930
Bad,931
Good,932
Good,933
Average,934
Bad,935
Average,936
Average,937
Good,938
Average,939
Average,940
Bad,941
Bad,942
Good,943
Bad,944
Bad,945
Bad,946
Great,947
Bad,948
Good,949
Bad,950
Good,951
Bad,952
Good,953
Bad,954
Bad,955
Bad,956
Bad,957
Good,958
Bad,959
Average,960
Bad,961
Great,962
Average,963
Bad,964
Bad,965
Average,966
Bad,967
Bad,968
Bad,969
Average,970
Bad,971
Good,972
Bad,973
Average,974
Bad,975
Bad,976
Bad,977
Bad,978
Bad,979
Good,980
Bad,981
Bad,982
Bad,983
Bad,984
Average,985
Bad,986
Bad,987
Bad,988
Good,989
Bad,990
Bad,991
Bad,992
Bad,993
Average,994
Bad,995
Bad,996
Great,997
Bad,998
Bad,999
Good,1000
Good,1001
Average,1002
Good,1003
Average,1004
Bad,1005
Good,1006
Bad,1007
Good,1008
Good,1009
Good,1010
Average,1011
Bad,1012
Good,1013
Bad,1014
Bad,1015
Bad,1016
Bad,1017
Average,1018
Bad,1019
Bad,1020
Bad,1021
Bad,1022
Great,1023
Average,1024
Bad,1025
Good,1026
Average,1027
Bad,1028
Bad,1029
Average,1030
Bad,1031
Bad,1032
Bad,1033
Bad,1034
Average,1035
Good,1036
Great,1037
Average,1038
Great,1039
Bad,1040
Great,1041
Good,1042
Bad,1043
Bad,1044
Bad,1045
Average,1046
Bad,1047
Bad,1048
Bad,1049
Bad,1050
Average,1051
Bad,1052
Good,1053
Bad,1054
Average,1055
Bad,1056
Bad,1057
Average,1058
Bad,1059
Great,1060
Average,1061
Bad,1062
Average,1063
Average,1064
Bad,1065
Good,1066
Good,1067
Bad,1068
Average,1069
Good,1070
Great,1071
Average,1072
Average,1073
Bad,1074
Great,1075
Average,1076
Average,1077
Bad,1078
Bad,1079
Good,1080
Good,1081
Great,1082
Good,1083
Bad,1084
Bad,1085
Average,1086
Average,1087
Average,1088
Good,1089
Bad,1090
Bad,1091
Bad,1092
Good,1093
Bad,1094
Average,1095
Bad,1096
Bad,1097
Great,1098
Bad,1099
Average,1100
Bad,1101
Bad,1102
Great,1103
Average,1104
Bad,1105
Bad,1106
Good,1107
Good,1108
Bad,1109
Bad,1110
Bad,1111
Bad,1112
Average,1113
Average,1114
Average,1115
Good,1116
Average,1117
Bad,1118
Average,1119
Bad,1120
Average,1121
Bad,1122
Bad,1123
Bad,1124
Good,1125
Bad,1126
Bad,1127
Bad,1128
Average,1129
Average,1130
Great,1131
Average,1132
Bad,1133
Bad,1134
Average,1135
Bad,1136
Bad,1137
Bad,1138
Bad,1139
Bad,1140
Good,1141
Average,1142
Bad,1143
Bad,1144
Average,1145
Bad,1146
Bad,1147
Average,1148
Bad,1149
Bad,1150
Bad,1151
Average,1152
Bad,1153
Good,1154
Good,1155
Average,1156
Average,1157
Bad,1158
Good,1159
Good,1160
Bad,1161
Bad,1162
Bad,1163
Bad,1164
Bad,1165
Bad,1166
Great,1167
Average,1168
Average,1169
Bad,1170
Bad,1171
Bad,1172
Average,1173
Bad,1174
Good,1175
Great,1176
Bad,1177
Bad,1178
Bad,1179
Bad,1180
Bad,1181
Average,1182
Bad,1183
Bad,1184
Average,1185
Great,1186
Average,1187
Good,1188
Bad,1189
Good,1190
Bad,1191
Bad,1192
Average,1193
Great,1194
Bad,1195
Average,1196
Average,1197
Bad,1198
Average,1199
Bad,1200
Bad,1201
Good,1202
Good,1203
Average,1204
Bad,1205
Bad,1206
Bad,1207
Bad,1208
Bad,1209
Average,1210
Bad,1211
Bad,1212
Bad,1213
Good,1214
Bad,1215
Average,1216
Average,1217
Bad,1218
Bad,1219
Average,1220
Bad,1221
Bad,1222
Good,1223
Bad,1224
Bad,1225
Bad,1226
Bad,1227
Good,1228
Bad,1229
Bad,1230
Bad,1231
Bad,1232
Bad,1233
Bad,1234
Average,1235
Bad,1236
Bad,1237
Bad,1238
Bad,1239
Average,1240
Bad,1241
Average,1242
Great,1243
Bad,1244
Bad,1245
Bad,1246
Average,1247
Good,1248
Bad,1249
Bad,1250
Bad,1251
Average,1252
Bad,1253
Average,1254
Good,1255
Bad,1256
Average,1257
Average,1258
Bad,1259
Good,1260
Bad,1261
Bad,1262
Bad,1263
Bad,1264
Bad,1265
Average,1266
Average,1267
Bad,1268
Bad,1269
Bad,1270
Bad,1271
Bad,1272
Bad,1273
Bad,1274
Good,1275
Bad,1276
Bad,1277
Good,1278
Bad,1279
Average,1280
Bad,1281
Bad,1282
Great,1283
Bad,1284
Bad,1285
Bad,1286
Bad,1287
Bad,1288
Bad,1289
Average,1290
Bad,1291
Good,1292
Bad,1293
Bad,1294
Average,1295
Great,1296
Average,1297
Bad,1298
Average,1299
Bad,1300
Bad,1301
Bad,1302
Average,1303
Bad,1304
Bad,1305
Bad,1306
Bad,1307
Bad,1308
Good,1309
Bad,1310
Bad,1311
Great,1312
Bad,1313
Average,1314
Bad,1315
Bad,1316
Good,1317
Bad,1318
Great,1319
Bad,1320
Bad,1321
Average,1322
Bad,1323
Bad,1324
Bad,1325
Average,1326
Average,1327
Bad,1328
Bad,1329
Bad,1330
Bad,1331
Average,1332
Bad,1333
Bad,1334
Bad,1335
Good,1336
Good,1337
Bad,1338
Average,1339
Bad,1340
Bad,1341
Average,1342
Bad,1343
Bad,1344
Bad,1345
Bad,1346
Bad,1347
Good,1348
Great,1349
Average,1350
Average,1351
Bad,1352
Bad,1353
Bad,1354
Bad,1355
Bad,1356
Good,1357
Bad,1358
Bad,1359
Average,1360
Average,1361
Bad,1362
Average,1363
Average,1364
Bad,1365
Average,1366
Bad,1367
Bad,1368
Average,1369
Average,1370
Average,1371
Average,1372
Bad,1373
Good,1374
Bad,1375
Average,1376
Bad,1377
Good,1378
Great,1379
Average,1380
Bad,1381
Average,1382
Bad,1383
Good,1384
Good,1385
Average,1386
Bad,1387
Bad,1388
Good,1389
Bad,1390
Bad,1391
Great,1392
Average,1393
Average,1394
Bad,1395
Bad,1396
Bad,1397
Good,1398
Bad,1399
Bad,1400
Good,1401
Bad,1402
Average,1403
Average,1404
Bad,1405
Bad,1406
Average,1407
Bad,1408
Bad,1409
Bad,1410
Bad,1411
Good,1412
Average,1413
Good,1414
Bad,1415
Average,1416
Bad,1417
Average,1418
Average,1419
Bad,1420
Bad,1421
Average,1422
Bad,1423
Bad,1424
Average,1425
Average,1426
Bad,1427
Bad,1428
Bad,1429
Bad,1430
Great,1431
Average,1432
Great,1433
Bad,1434
Good,1435
Bad,1436
Bad,1437
Bad,1438
Great,1439
Bad,1440
Bad,1441
Good,1442
Good,1443
Bad,1444
Bad,1445
Bad,1446
Average,1447
Good,1448
Bad,1449
Average,1450
Bad,1451
Bad,1452
Average,1453
Average,1454
Bad,1455
Bad,1456
Bad,1457
Bad,1458
Bad,1459
Bad,1460
Good,1461
Bad,1462
Great,1463
Bad,1464
Average,1465
Average,1466
Bad,1467
Great,1468
Bad,1469
Good,1470
Average,1471
Great,1472
Great,1473
Bad,1474
Average,1475
Bad,1476
Bad,1477
Bad,1478
Average,1479
Average,1480
Bad,1481
Bad,1482
Bad,1483
Bad,1484
Average,1485
Bad,1486
Bad,1487
Bad,1488
Bad,1489
Average,1490
Bad,1491
Average,1492
Bad,1493
Good,1494
Bad,1495
Good,1496
Great,1497
Bad,1498
Average,1499
Bad,1500
Average,1501
Bad,1502
Average,1503
Average,1504
Bad,1505
Average,1506
Bad,1507
Average,1508
Good,1509
Bad,1510
Good,1511
Good,1512
Average,1513
Bad,1514
Good,1515
Bad,1516
Average,1517
Bad,1518
Average,1519
Average,1520
Bad,1521
Average,1522
Average,1523
Bad,1524
Bad,1525
Good,1526
Bad,1527
Good,1528
Bad,1529
Bad,1530
Bad,1531
Average,1532
Bad,1533
Bad,1534
Great,1535
Bad,1536
Average,1537
Bad,1538
Average,1539
Bad,1540
Bad,1541
Bad,1542
Bad,1543
Great,1544
Average,1545
Good,1546
Average,1547
Bad,1548
Good,1549
Good,1550
Average,1551
Average,1552
Bad,1553
Great,1554
Bad,1555
Bad,1556
Great,1557
Bad,1558
Average,1559
Average,1560
Bad,1561
Bad,1562
Good,1563
Good,1564
Bad,1565
Average,1566
Bad,1567
Bad,1568
Good,1569
Good,1570
Good,1571
Bad,1572
Bad,1573
Bad,1574
Good,1575
Bad,1576
Bad,1577
Good,1578
Good,1579
Average,1580
Bad,1581
Bad,1582
Bad,1583
Good,1584
Good,1585
Bad,1586
Average,1587
Bad,1588
Bad,1589
Average,1590
Great,1591
Great,1592
Average,1593
Bad,1594
Bad,1595
Good,1596
Bad,1597
Average,1598
Bad,1599
Good,1600
Bad,1601
Bad,1602
Good,1603
Average,1604
Great,1605
Average,1606
Average,1607
Great,1608
Good,1609
Average,1610
Bad,1611
Good,1612
Bad,1613
Bad,1614
Bad,1615
Bad,1616
Bad,1617
Bad,1618
Bad,1619
Bad,1620
Great,1621
Great,1622
Good,1623
Bad,1624
Bad,1625
Bad,1626
Bad,1627
Good,1628
Average,1629
Bad,1630
Bad,1631
Bad,1632
Bad,1633
Average,1634
Good,1635
Bad,1636
Bad,1637
Bad,1638
Average,1639
Average,1640
Bad,1641
Bad,1642
Good,1643
Bad,1644
Average,1645
Bad,1646
Bad,1647
Average,1648
Great,1649
Bad,1650
Good,1651
Bad,1652
Bad,1653
Bad,1654
Bad,1655
Bad,1656
Average,1657
Average,1658
Bad,1659
Bad,1660
Good,1661
Bad,1662
Bad,1663
Bad,1664
Average,1665
Average,1666
Bad,1667
Good,1668
Great,1669
Bad,1670
Average,1671
Bad,1672
Bad,1673
Great,1674
Bad,1675
Bad,1676
Good,1677
Average,1678
Bad,1679
Bad,1680
Bad,1681
Great,1682
Bad,1683
Good,1684
Bad,1685
Average,1686
Bad,1687
Bad,1688
Bad,1689
Bad,1690
Bad,1691
Bad,1692
Great,1693
Bad,1694
Bad,1695
Average,1696
Bad,1697
Average,1698
Bad,1699
Bad,1700
Bad,1701
Bad,1702
Bad,1703
Bad,1704
Bad,1705
Good,1706
Bad,1707
Bad,1708
Bad,1709
Bad,1710
Bad,1711
Bad,1712
Bad,1713
Good,1714
Bad,1715
Average,1716
Good,1717
Bad,1718
Average,1719
Great,1720
Good,1721
Bad,1722
Good,1723
Average,1724
Bad,1725
Average,1726
Good,1727
Bad,1728
Bad,1729
Bad,1730
Bad,1731
Average,1732
Average,1733
Bad,1734
Average,1735
Average,1736
Bad,1737
Average,1738
Average,1739
Average,1740
Bad,1741
Average,1742
Average,1743
Great,1744
Good,1745
Bad,1746
Bad,1747
Average,1748
Bad,1749
Average,1750
Bad,1751
Average,1752
Bad,1753
Bad,1754
Bad,1755
Bad,1756
Bad,1757
Average,1758
Average,1759
Bad,1760
Bad,1761
Average,1762
Bad,1763
Great,1764
Bad,1765
Good,1766
Bad,1767
Bad,1768
Bad,1769
Bad,1770
Average,1771
Average,1772
Great,1773
Bad,1774
Bad,1775
Bad,1776
Good,1777
Bad,1778
Good,1779
Average,1780
Bad,1781
Average,1782
Bad,1783
Bad,1784
Average,1785
Bad,1786
Bad,1787
Good,1788
Bad,1789
Bad,1790
Bad,1791
Bad,1792
Bad,1793
Good,1794
Bad,1795
Average,1796
Bad,1797
Average,1798
Bad,1799
Good,1800
Bad,1801
Bad,1802
Average,1803
Bad,1804
Bad,1805
Bad,1806
Bad,1807
Average,1808
Great,1809
Bad,1810
Average,1811
Average,1812
Bad,1813
Great,1814
Bad,1815
Average,1816
Average,1817
Average,1818
Average,1819
Average,1820
Bad,1821
Bad,1822
Bad,1823
Bad,1824
Bad,1825
Bad,1826
Average,1827
Average,1828
Bad,1829
Great,1830
Good,1831
Bad,1832
Average,1833
Bad,1834
Good,1835
Bad,1836
Bad,1837
Bad,1838
Bad,1839
Average,1840
Bad,1841
Bad,1842
Great,1843
Good,1844
Bad,1845
Bad,1846
Average,1847
Bad,1848
Bad,1849
Good,1850
Bad,1851
Bad,1852
Bad,1853
Bad,1854
Good,1855
Good,1856
Bad,1857
Great,1858
Bad,1859
Bad,1860
Bad,1861
Bad,1862
Bad,1863
Average,1864
Bad,1865
Bad,1866
Bad,1867
Average,1868
Bad,1869
Bad,1870
Good,1871
Bad,1872
Average,1873
Bad,1874
Great,1875
Bad,1876
Bad,1877
Bad,1878
Good,1879
Bad,1880
Average,1881
Average,1882
Bad,1883
Bad,1884
Bad,1885
Average,1886
Average,1887
Bad,1888
Average,1889
Good,1890
Good,1891
Bad,1892
Bad,1893
Average,1894
Good,1895
Good,1896
Good,1897
Great,1898
Average,1899
Good,1900
Good,1901
Average,1902
Bad,1903
Bad,1904
Average,1905
Bad,1906
Average,1907
Great,1908
Average,1909
Bad,1910
Good,1911
Bad,1912
Good,1913
Good,1914
Good,1915
Bad,1916
Bad,1917
Bad,1918
Great,1919
Good,1920
Good,1921
Average,1922
Bad,1923
Good,1924
Average,1925
Good,1926
Bad,1927
Bad,1928
Average,1929
Bad,1930
Bad,1931
Good,1932
Bad,1933
Average,1934
Bad,1935
Bad,1936
Good,1937
Average,1938
Average,1939
Bad,1940
Good,1941
Average,1942
Bad,1943
Average,1944
Average,1945
Average,1946
Good,1947
Bad,1948
Good,1949
Average,1950
Bad,1951
Bad,1952
Bad,1953
Average,1954
Good,1955
Good,1956
Great,1957
Great,1958
Average,1959
Average,1960
Bad,1961
Great,1962
Bad,1963
Good,1964
Bad,1965
Bad,1966
Bad,1967
Average,1968
Average,1969
Good,1970
Bad,1971
Great,1972
Bad,1973
Bad,1974
Average,1975
Average,1976
Good,1977
Bad,1978
Bad,1979
Bad,1980
Bad,1981
Bad,1982
Bad,1983
Good,1984
Good,1985
Bad,1986
Bad,1987
Average,1988
Bad,1989
Average,1990
Average,1991
Average,1992
Bad,1993
Bad,1994
Bad,1995
Average,1996
Bad,1997
Good,1998
Average,1999
Bad,2000
Average,2001
Bad,2002
Bad,2003
Bad,2004
Average,2005
Average,2006
Average,2007
Bad,2008
Average,2009
Bad,2010
Bad,2011
Bad,2012
Bad,2013
Bad,2014
Good,2015
Average,2016
Average,2017
Average,2018
Average,2019
Bad,2020
Average,2021
Bad,2022
Bad,2023
Average,2024
Bad,2025
Bad,2026
Average,2027
Good,2028
Good,2029
Bad,2030
Good,2031
Average,2032
Good,2033
Bad,2034
Bad,2035
Bad,2036
Average,2037
Good,2038
Bad,2039
Bad,2040
Bad,2041
Bad,2042
Average,2043
Average,2044
Good,2045
Good,2046
Good,2047
Good,2048
Great,2049
Average,2050
Bad,2051
Bad,2052
Great,2053
Average,2054
Bad,2055
Average,2056
Bad,2057
Bad,2058
Bad,2059
Bad,2060
Bad,2061
Average,2062
Good,2063
Average,2064
Bad,2065
Bad,2066
Bad,2067
Bad,2068
Good,2069
Bad,2070
Bad,2071
Bad,2072
Average,2073
Bad,2074
Bad,2075
Bad,2076
Bad,2077
Bad,2078
Bad,2079
Bad,2080
Bad,2081
Good,2082
Good,2083
Average,2084
Bad,2085
Bad,2086
Bad,2087
Great,2088
Good,2089
Bad,2090
Bad,2091
Bad,2092
Great,2093
Bad,2094
Bad,2095
Bad,2096
Great,2097
Bad,2098
Bad,2099
Average,2100
Bad,2101
Good,2102
Bad,2103
Good,2104
Bad,2105
Great,2106
Bad,2107
Average,2108
Average,2109
Bad,2110
Bad,2111
Average,2112
Great,2113
Bad,2114
Good,2115
Bad,2116
Good,2117
Average,2118
Bad,2119
Average,2120
Bad,2121
Average,2122
Bad,2123
Bad,2124
Average,2125
Bad,2126
Good,2127
Bad,2128
Good,2129
Good,2130
Bad,2131
Bad,2132
Bad,2133
Good,2134
Bad,2135
Bad,2136
Bad,2137
Bad,2138
Bad,2139
Bad,2140
Bad,2141
Bad,2142
Good,2143
Good,2144
Bad,2145
Average,2146
Bad,2147
Bad,2148
Bad,2149
Bad,2150
Bad,2151
Bad,2152
Average,2153
Good,2154
Average,2155
Average,2156
Bad,2157
Bad,2158
Bad,2159
Bad,2160
Bad,2161
Average,2162
Average,2163
Bad,2164
Good,2165
Bad,2166
Bad,2167
Good,2168
Great,2169
Bad,2170
Bad,2171
Bad,2172
Average,2173
Bad,2174
Good,2175
Good,2176
Average,2177
Bad,2178
Bad,2179
Great,2180
Average,2181
Good,2182
Bad,2183
Good,2184
Bad,2185
Bad,2186
Bad,2187
Bad,2188
Bad,2189
Average,2190
Good,2191
Great,2192
Bad,2193
Bad,2194
Good,2195
Good,2196
Bad,2197
Bad,2198
Great,2199
Bad,2200
Bad,2201
Bad,2202
Bad,2203
Bad,2204
Bad,2205
Bad,2206
Average,2207
Bad,2208
Great,2209
Bad,2210
Bad,2211
Great,2212
Bad,2213
Good,2214
Bad,2215
Bad,2216
Bad,2217
Bad,2218
Bad,2219
Average,2220
Good,2221
Great,2222
Bad,2223
Bad,2224
Good,2225
Bad,2226
Average,2227
Average,2228
Bad,2229
Average,2230
Bad,2231
Bad,2232
Bad,2233
Bad,2234
Bad,2235
Bad,2236
Good,2237
Average,2238
Average,2239
Bad,2240
Average,2241
Average,2242
Average,2243
Good,2244
Bad,2245
Bad,2246
Bad,2247
Bad,2248
Average,2249
Bad,2250
Bad,2251
Bad,2252
Bad,2253
Bad,2254
Average,2255
Bad,2256
Bad,2257
Bad,2258
Good,2259
Bad,2260
Bad,2261
Bad,2262
Bad,2263
Average,2264
Great,2265
Average,2266
Great,2267
Bad,2268
Bad,2269
Great,2270
Good,2271
Bad,2272
Bad,2273
Average,2274
Bad,2275
Good,2276
Bad,2277
Bad,2278
Average,2279
Bad,2280
Bad,2281
Bad,2282
Great,2283
Bad,2284
