,LifeStyle
1114,Bad
1115,Bad
1116,Average
1117,Bad
1118,Bad
1119,Bad
1120,Bad
1121,Average
1122,Bad
1123,Bad
1124,Bad
1125,Good
1126,Bad
1127,Bad
1128,Bad
1129,Bad
1130,Bad
1131,Great
1132,Average
1133,Bad
1134,Bad
1135,Bad
1136,Bad
1137,Bad
1138,Bad
1139,Bad
1140,Bad
1141,Average
1142,Average
1143,Bad
1144,Bad
1145,Average
1146,Bad
1147,Bad
1148,Bad
1149,Bad
1150,Bad
1151,Bad
1152,Average
1153,Bad
1154,Good
1155,Good
1156,Bad
1157,Bad
1158,Bad
1159,Bad
1160,Average
1161,Bad
1162,Bad
1163,Bad
1164,Bad
1165,Bad
1166,Bad
1167,Good
1168,Bad
1169,Average
1170,Bad
1171,Bad
1172,Bad
1173,Average
1174,Bad
1175,Average
1176,Good
1177,Bad
1178,Bad
1179,Bad
1180,Bad
1181,Bad
1182,Bad
1183,Bad
1184,Bad
1185,Average
1186,Good
1187,Bad
1188,Good
1189,Bad
1190,Good
1191,Bad
1192,Bad
1193,Average
1194,Great
1195,Bad
1196,Bad
1197,Average
1198,Bad
1199,Bad
1200,Bad
1201,Bad
1202,Good
1203,Good
1204,Average
1205,Bad
1206,Bad
1207,Bad
1208,Bad
1209,Bad
1210,Bad
1211,Bad
1212,Bad
1213,Bad
1214,Average
1215,Bad
1216,Bad
1217,Average
1218,Bad
1219,Bad
1220,Average
1221,Bad
1222,Bad
1223,Good
1224,Bad
1225,Bad
1226,Bad
1227,Bad
1228,Average
1229,Bad
1230,Bad
1231,Bad
1232,Bad
1233,Bad
1234,Bad
1235,Average
1236,Bad
1237,Bad
1238,Bad
1239,Bad
1240,Average
1241,Bad
1242,Bad
1243,Great
1244,Bad
1245,Bad
1246,Bad
1247,Bad
1248,Good
1249,Bad
1250,Bad
1251,Bad
1252,Average
1253,Bad
1254,Average
1255,Bad
1256,Bad
1257,Bad
1258,Bad
1259,Bad
1260,Average
1261,Bad
1262,Bad
1263,Bad
1264,Bad
1265,Bad
1266,Average
1267,Average
1268,Bad
1269,Bad
1270,Bad
1271,Bad
1272,Bad
1273,Bad
1274,Bad
1275,Average
1276,Bad
1277,Bad
1278,Good
1279,Bad
1280,Average
1281,Bad
1282,Bad
1283,Great
1284,Bad
1285,Bad
1286,Bad
1287,Bad
1288,Bad
1289,Bad
1290,Average
1291,Bad
1292,Good
1293,Bad
1294,Bad
1295,Average
1296,Great
1297,Average
1298,Bad
1299,Bad
1300,Bad
1301,Bad
1302,Bad
1303,Average
1304,Bad
1305,Bad
1306,Bad
1307,Bad
1308,Bad
1309,Good
1310,Bad
1311,Bad
1312,Good
1313,Bad
1314,Average
1315,Bad
1316,Bad
1317,Average
1318,Bad
1319,Good
1320,Bad
1321,Bad
1322,Average
1323,Bad
1324,Bad
1325,Bad
1326,Bad
1327,Average
1328,Bad
1329,Bad
1330,Bad
1331,Bad
1332,Average
1333,Bad
1334,Bad
1335,Bad
1336,Average
1337,Good
1338,Bad
1339,Bad
1340,Bad
1341,Bad
1342,Bad
1343,Bad
1344,Bad
1345,Bad
1346,Bad
1347,Bad
1348,Good
1349,Great
1350,Average
1351,Bad
1352,Bad
1353,Bad
1354,Bad
1355,Bad
1356,Bad
1357,Good
1358,Bad
1359,Bad
1360,Bad
1361,Average
1362,Bad
1363,Average
1364,Average
1365,Bad
1366,Bad
1367,Bad
1368,Bad
1369,Bad
1370,Bad
1371,Average
1372,Average
1373,Bad
1374,Average
1375,Bad
1376,Average
1377,Bad
1378,Average
1379,Great
1380,Bad
1381,Bad
1382,Average
1383,Bad
1384,Average
1385,Good
1386,Average
1387,Bad
1388,Bad
1389,Average
1390,Bad
1391,Bad
1392,Great
1393,Average
1394,Average
1395,Bad
1396,Bad
1397,Bad
1398,Good
1399,Bad
1400,Bad
1401,Good
1402,Bad
1403,Bad
1404,Bad
1405,Bad
1406,Bad
1407,Bad
1408,Bad
1409,Bad
1410,Bad
1411,Bad
1412,Average
1413,Average
1414,Good
1415,Bad
1416,Bad
1417,Bad
1418,Bad
1419,Average
1420,Bad
1421,Bad
1422,Average
1423,Bad
1424,Bad
1425,Bad
1426,Average
1427,Bad
1428,Bad
1429,Bad
1430,Bad
1431,Great
1432,Average
1433,Great
1434,Bad
1435,Good
1436,Bad
1437,Bad
1438,Bad
1439,Good
1440,Bad
1441,Bad
1442,Good
1443,Average
1444,Bad
1445,Bad
1446,Bad
1447,Average
1448,Bad
1449,Bad
1450,Bad
1451,Bad
1452,Bad
1453,Average
1454,Average
1455,Bad
1456,Bad
1457,Bad
1458,Bad
1459,Bad
1460,Bad
1461,Good
1462,Bad
1463,Great
1464,Bad
1465,Bad
1466,Average
1467,Bad
1468,Great
1469,Bad
1470,Good
1471,Bad
1472,Good
1473,Good
1474,Bad
1475,Bad
1476,Bad
1477,Bad
1478,Bad
1479,Average
1480,Average
1481,Bad
1482,Bad
1483,Bad
1484,Bad
1485,Average
1486,Bad
1487,Bad
1488,Bad
1489,Bad
1490,Bad
1491,Bad
1492,Bad
1493,Bad
1494,Good
1495,Bad
1496,Good
1497,Good
1498,Bad
1499,Bad
1500,Bad
1501,Bad
1502,Bad
1503,Bad
1504,Bad
1505,Bad
1506,Bad
1507,Bad
1508,Bad
1509,Good
1510,Bad
1511,Good
1512,Good
1513,Bad
1514,Bad
1515,Average
1516,Bad
1517,Average
1518,Bad
1519,Bad
1520,Average
1521,Bad
1522,Average
1523,Average
1524,Bad
1525,Bad
1526,Average
1527,Bad
1528,Good
1529,Bad
1530,Bad
1531,Bad
1532,Average
1533,Bad
1534,Bad
1535,Great
1536,Bad
1537,Bad
1538,Bad
1539,Average
1540,Bad
1541,Bad
1542,Bad
1543,Bad
1544,Great
1545,Bad
1546,Good
1547,Average
1548,Bad
1549,Good
1550,Good
1551,Average
1552,Average
1553,Bad
1554,Great
1555,Bad
1556,Bad
1557,Good
1558,Bad
1559,Average
1560,Average
1561,Bad
1562,Bad
1563,Average
1564,Average
1565,Bad
1566,Average
1567,Bad
1568,Bad
1569,Good
1570,Good
1571,Bad
1572,Bad
1573,Bad
1574,Bad
1575,Good
1576,Bad
1577,Bad
1578,Average
1579,Good
1580,Average
1581,Bad
1582,Bad
1583,Bad
1584,Good
1585,Good
1586,Bad
1587,Average
1588,Bad
1589,Bad
1590,Average
1591,Great
1592,Great
1593,Bad
1594,Bad
1595,Bad
1596,Good
1597,Bad
1598,Bad
1599,Bad
1600,Good
1601,Bad
1602,Bad
1603,Good
1604,Average
1605,Great
1606,Bad
1607,Bad
1608,Great
1609,Good
1610,Average
1611,Bad
1612,Good
1613,Bad
1614,Bad
1615,Bad
1616,Bad
1617,Bad
1618,Bad
1619,Bad
1620,Bad
1621,Good
1622,Great
1623,Good
1624,Bad
1625,Bad
1626,Bad
1627,Bad
1628,Average
1629,Average
1630,Bad
1631,Bad
1632,Bad
1633,Bad
1634,Average
1635,Good
1636,Bad
1637,Bad
1638,Bad
1639,Bad
1640,Average
1641,Bad
1642,Bad
1643,Good
1644,Bad
1645,Bad
1646,Bad
1647,Bad
1648,Bad
1649,Great
1650,Bad
1651,Good
1652,Bad
1653,Bad
1654,Bad
1655,Bad
1656,Bad
1657,Bad
1658,Bad
1659,Bad
1660,Bad
1661,Average
1662,Bad
1663,Bad
1664,Bad
1665,Average
1666,Average
1667,Bad
1668,Average
1669,Good
1670,Bad
1671,Average
1672,Bad
1673,Bad
1674,Good
1675,Bad
1676,Bad
1677,Good
1678,Average
1679,Bad
1680,Bad
1681,Bad
1682,Great
1683,Bad
1684,Good
1685,Bad
1686,Bad
1687,Bad
1688,Bad
1689,Bad
1690,Bad
1691,Bad
1692,Bad
1693,Great
1694,Bad
1695,Bad
1696,Bad
1697,Bad
1698,Average
1699,Bad
1700,Bad
1701,Bad
1702,Bad
1703,Bad
1704,Bad
1705,Bad
1706,Average
1707,Bad
1708,Bad
1709,Bad
1710,Bad
1711,Bad
1712,Bad
1713,Bad
1714,Average
1715,Bad
1716,Average
1717,Good
1718,Bad
1719,Average
1720,Great
1721,Good
1722,Bad
1723,Bad
1724,Bad
1725,Bad
1726,Average
1727,Good
1728,Bad
1729,Bad
1730,Bad
1731,Bad
1732,Average
1733,Bad
1734,Bad
1735,Average
1736,Bad
1737,Bad
1738,Average
1739,Bad
1740,Bad
1741,Bad
1742,Bad
1743,Average
1744,Great
1745,Average
1746,Bad
1747,Bad
1748,Average
1749,Bad
1750,Average
1751,Bad
1752,Bad
1753,Bad
1754,Bad
1755,Bad
1756,Bad
1757,Bad
1758,Bad
1759,Average
1760,Bad
1761,Bad
1762,Bad
1763,Bad
1764,Good
1765,Bad
1766,Good
1767,Bad
1768,Bad
1769,Bad
1770,Bad
1771,Average
1772,Bad
1773,Great
1774,Bad
1775,Bad
1776,Bad
1777,Average
1778,Bad
1779,Good
1780,Average
1781,Bad
1782,Bad
1783,Bad
1784,Bad
1785,Bad
1786,Bad
1787,Bad
1788,Good
1789,Bad
1790,Bad
1791,Bad
1792,Bad
1793,Bad
1794,Average
1795,Bad
1796,Bad
1797,Bad
1798,Average
1799,Bad
1800,Good
1801,Bad
1802,Bad
1803,Bad
1804,Bad
1805,Bad
1806,Bad
1807,Bad
1808,Average
1809,Great
1810,Bad
1811,Average
1812,Average
1813,Bad
1814,Great
1815,Bad
1816,Average
1817,Bad
1818,Average
1819,Average
1820,Bad
1821,Bad
1822,Bad
1823,Bad
1824,Bad
1825,Bad
1826,Bad
1827,Average
1828,Average
1829,Bad
1830,Great
1831,Average
1832,Bad
1833,Bad
1834,Bad
1835,Good
1836,Bad
1837,Bad
1838,Bad
1839,Bad
1840,Average
1841,Bad
1842,Bad
1843,Great
1844,Good
1845,Bad
1846,Bad
1847,Average
1848,Bad
1849,Bad
1850,Good
1851,Bad
1852,Bad
1853,Bad
1854,Bad
1855,Good
1856,Good
1857,Bad
1858,Great
1859,Bad
1860,Bad
1861,Bad
1862,Bad
1863,Bad
1864,Average
1865,Bad
1866,Bad
1867,Bad
1868,Average
1869,Bad
1870,Bad
1871,Good
1872,Bad
1873,Bad
1874,Bad
1875,Great
1876,Bad
1877,Bad
1878,Bad
1879,Good
1880,Bad
1881,Average
1882,Average
1883,Bad
1884,Bad
1885,Bad
1886,Average
1887,Bad
1888,Bad
1889,Average
1890,Average
1891,Average
1892,Bad
1893,Bad
1894,Bad
1895,Good
1896,Good
1897,Good
1898,Great
1899,Average
1900,Average
1901,Average
1902,Average
1903,Bad
1904,Bad
1905,Bad
1906,Bad
1907,Average
1908,Great
1909,Bad
1910,Bad
1911,Average
1912,Bad
1913,Good
1914,Good
1915,Average
1916,Bad
1917,Bad
1918,Bad
1919,Great
1920,Average
1921,Average
1922,Bad
1923,Bad
1924,Good
1925,Bad
1926,Good
1927,Bad
1928,Bad
1929,Bad
1930,Bad
1931,Bad
1932,Good
1933,Bad
1934,Bad
1935,Bad
1936,Bad
1937,Good
1938,Bad
1939,Bad
1940,Bad
1941,Good
1942,Bad
1943,Bad
1944,Bad
1945,Bad
1946,Average
1947,Good
1948,Bad
1949,Average
1950,Average
1951,Bad
1952,Bad
1953,Bad
1954,Bad
1955,Good
1956,Average
1957,Good
1958,Great
1959,Average
1960,Bad
1961,Bad
1962,Great
1963,Bad
1964,Good
1965,Bad
1966,Bad
1967,Bad
1968,Average
1969,Bad
1970,Bad
1971,Bad
1972,Great
1973,Bad
1974,Bad
1975,Average
1976,Bad
1977,Good
1978,Bad
1979,Bad
1980,Bad
1981,Bad
1982,Bad
1983,Bad
1984,Good
1985,Good
1986,Bad
1987,Bad
1988,Bad
1989,Bad
1990,Average
1991,Average
1992,Average
1993,Bad
1994,Bad
1995,Bad
1996,Bad
1997,Bad
1998,Good
1999,Average
2000,Bad
2001,Average
2002,Bad
2003,Bad
2004,Bad
2005,Average
2006,Average
2007,Bad
2008,Bad
2009,Average
2010,Bad
2011,Bad
2012,Bad
2013,Bad
2014,Bad
2015,Good
2016,Average
2017,Average
2018,Bad
2019,Bad
2020,Bad
2021,Average
2022,Bad
2023,Bad
2024,Average
2025,Bad
2026,Bad
2027,Bad
2028,Good
2029,Average
2030,Bad
2031,Good
2032,Bad
2033,Good
2034,Bad
2035,Bad
2036,Bad
2037,Average
2038,Average
2039,Bad
2040,Bad
2041,Bad
2042,Bad
2043,Bad
2044,Average
2045,Good
2046,Good
2047,Good
2048,Average
2049,Good
2050,Bad
2051,Bad
2052,Bad
2053,Good
2054,Average
2055,Bad
2056,Bad
2057,Bad
2058,Bad
2059,Bad
2060,Bad
2061,Bad
2062,Bad
2063,Good
2064,Average
2065,Bad
2066,Bad
2067,Bad
2068,Bad
2069,Good
2070,Bad
2071,Bad
2072,Bad
2073,Average
2074,Bad
2075,Bad
2076,Bad
2077,Bad
2078,Bad
2079,Bad
2080,Bad
2081,Bad
2082,Average
2083,Average
2084,Bad
2085,Bad
2086,Bad
2087,Bad
2088,Great
2089,Average
2090,Bad
2091,Bad
2092,Bad
2093,Great
2094,Bad
2095,Bad
2096,Bad
2097,Great
2098,Bad
2099,Bad
2100,Average
2101,Bad
2102,Good
2103,Bad
2104,Good
2105,Bad
2106,Great
2107,Bad
2108,Average
2109,Average
2110,Bad
2111,Bad
2112,Bad
2113,Great
2114,Bad
2115,Good
2116,Bad
2117,Bad
2118,Bad
2119,Bad
2120,Bad
2121,Bad
2122,Bad
2123,Bad
2124,Bad
2125,Bad
2126,Bad
2127,Good
2128,Bad
2129,Good
2130,Good
2131,Bad
2132,Bad
2133,Bad
2134,Good
2135,Bad
2136,Bad
2137,Bad
2138,Bad
2139,Bad
2140,Bad
2141,Bad
2142,Bad
2143,Good
2144,Average
2145,Bad
2146,Bad
2147,Bad
2148,Bad
2149,Bad
2150,Bad
2151,Bad
2152,Bad
2153,Average
2154,Average
2155,Average
2156,Bad
2157,Bad
2158,Bad
2159,Bad
2160,Bad
2161,Bad
2162,Average
2163,Bad
2164,Bad
2165,Average
2166,Bad
2167,Bad
2168,Good
2169,Great
2170,Bad
2171,Bad
2172,Bad
2173,Average
2174,Bad
2175,Average
2176,Average
2177,Average
2178,Bad
2179,Bad
2180,Great
2181,Average
2182,Average
2183,Bad
2184,Good
2185,Bad
2186,Bad
2187,Bad
2188,Bad
2189,Bad
2190,Average
2191,Average
2192,Great
2193,Bad
2194,Bad
2195,Average
2196,Good
2197,Bad
2198,Bad
2199,Good
2200,Bad
2201,Bad
2202,Bad
2203,Bad
2204,Bad
2205,Bad
2206,Bad
2207,Average
2208,Bad
2209,Good
2210,Bad
2211,Bad
2212,Good
2213,Bad
2214,Bad
2215,Bad
2216,Bad
2217,Bad
2218,Bad
2219,Bad
2220,Average
2221,Good
2222,Great
2223,Bad
2224,Bad
2225,Average
2226,Bad
2227,Bad
2228,Average
2229,Bad
2230,Average
2231,Bad
2232,Bad
2233,Bad
2234,Bad
2235,Bad
2236,Bad
2237,Good
2238,Average
2239,Bad
2240,Bad
2241,Bad
2242,Bad
